"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","update","decay"
"200004",6,0,2,1,TRUE,199,1,100,0.303650628452495,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",7,0,2,0,TRUE,199,0,0,0.160907101070558,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",8,0,4,1,TRUE,199,1,50,0.241836694041202,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",9,0,2,0,TRUE,199,0,0,0.210476371672659,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",10,0,1,1,TRUE,199,1,100,0.407697672197722,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",11,0,4,1,TRUE,199,1,50,0.152990727512327,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",12,0,1,0,TRUE,199,0,0,0.153320348547571,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",13,0,4,1,TRUE,199,1,50,0.148089173179576,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",14,0,3,1,TRUE,199,1,50,0.851021679415202,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",15,0,2,0,TRUE,199,0,0,0.196052900714256,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",16,0,4,1,TRUE,199,1,50,0.348790131277442,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",17,0,3,1,TRUE,199,1,-25,0.175524103240681,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",18,0,1,1,TRUE,199,1,-250,0.211895046941913,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",19,0,1,1,TRUE,199,1,100,0.552177395229107,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",20,0,1,0,TRUE,199,0,0,0.629833175966775,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",21,1,1,NA,FALSE,199,0,0,1.68244618730474,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",22,1,1,NA,FALSE,199,0,0,0.691713455684076,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",23,1,4,NA,FALSE,199,1,50,0.203771089817434,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",24,1,2,NA,FALSE,199,1,100,0.388594135404168,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",25,1,4,NA,FALSE,199,1,50,0.154845107991711,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",26,1,3,NA,FALSE,199,1,50,1.29995324519016,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",27,1,3,NA,FALSE,199,1,-25,0.269427886018732,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",28,1,3,NA,FALSE,199,0,0,0.371222552544312,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",29,1,4,NA,FALSE,199,1,50,0.466165755623298,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",30,1,1,NA,FALSE,199,1,-250,0.369175400544914,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",31,1,4,NA,FALSE,199,1,-200,0.192880285620512,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",32,1,1,NA,FALSE,199,0,0,0.479311367420856,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",33,1,3,NA,FALSE,199,1,50,0.197729054967959,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",34,1,2,NA,FALSE,199,1,100,0.531227257481152,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",35,1,2,NA,FALSE,199,1,100,0.547152550155338,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",36,1,1,NA,FALSE,199,1,100,0.363954707046558,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",37,1,1,NA,FALSE,199,1,-250,0.371368734035848,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",38,1,4,NA,FALSE,199,0,0,0.499603202291845,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",39,1,2,NA,FALSE,199,1,100,0.189432563462301,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",40,1,4,NA,FALSE,199,1,50,0.407086627629498,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",41,2,3,NA,FALSE,199,1,50,0.37448965934226,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",42,2,1,NA,FALSE,199,1,-250,1.24012758493881,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",43,2,4,NA,FALSE,199,1,50,0.214796993202459,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",44,2,3,NA,FALSE,199,1,-25,0.323513282945271,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",45,2,3,NA,FALSE,199,0,0,1.05338582575094,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",46,2,4,NA,FALSE,199,1,50,0.394562794836839,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",47,2,1,NA,FALSE,199,0,0,0.55640787484948,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",48,2,3,NA,FALSE,199,0,0,1.01453238988253,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",49,2,4,NA,FALSE,199,1,50,0.737347728045793,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",50,2,3,NA,FALSE,199,1,-25,0.281416761623403,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",51,2,2,NA,FALSE,199,1,100,0.307260253094438,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",52,2,2,NA,FALSE,199,1,100,0.328180691661853,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
"200004",53,2,2,NA,FALSE,199,1,100,0.221598299370442,1.60237,0.1158885,0.720439,0.001288775,0.2306945,1.147745,0.293732,0.1303915
