"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","mag","con","retend"
"202387",22,1,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",23,1,3,NA,FALSE,165,1,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",24,1,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",25,1,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",26,1,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",27,1,1,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",28,1,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",29,1,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",30,1,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",31,1,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",32,1,3,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",33,1,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",34,1,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",35,1,1,NA,FALSE,165,1,-250,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",36,1,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",37,1,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",38,1,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",39,1,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",40,1,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",41,2,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",42,2,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",43,2,1,NA,FALSE,165,1,-250,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",44,2,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
