"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","wgt_pun","wgt_rew","update"
"200002",52,2,2,NA,FALSE,155,0,0,0.315494868233036,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",53,2,3,NA,FALSE,155,1,50,0.717533486129248,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",54,2,4,NA,FALSE,155,1,50,0.123357682940653,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",55,2,3,NA,FALSE,155,0,0,0.379990012489938,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",56,2,1,NA,FALSE,155,0,0,0.380929004913434,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",57,2,2,NA,FALSE,155,0,0,0.281586179014148,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",58,2,4,NA,FALSE,155,1,50,1.18686940788748,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",59,2,1,NA,FALSE,155,0,0,0.576774820735103,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",60,2,4,NA,FALSE,155,1,50,0.302761418612439,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",61,3,4,NA,FALSE,155,1,50,0.210049646538403,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",62,3,1,NA,FALSE,155,0,0,0.176609799222987,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",63,3,4,NA,FALSE,155,1,50,0.779820991062216,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",64,3,4,NA,FALSE,155,1,50,0.24628055133314,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",65,3,2,NA,FALSE,155,0,0,0.294374457780764,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",66,3,2,NA,FALSE,155,0,0,0.277111832538103,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",67,3,4,NA,FALSE,155,1,50,1.43029475289312,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",68,3,3,NA,FALSE,155,1,-25,0.390476445465724,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",69,3,3,NA,FALSE,155,1,0,0.341998235408558,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",70,3,1,NA,FALSE,155,0,0,0.508972591289945,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",71,3,2,NA,FALSE,155,1,100,0.117152196776324,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",72,3,3,NA,FALSE,155,0,0,2.05716674735006,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",73,3,3,NA,FALSE,155,1,0,0.325526308747513,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",74,3,2,NA,FALSE,155,1,100,0.748647998454325,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",75,3,4,NA,FALSE,155,1,50,0.215650593831931,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",76,3,3,NA,FALSE,155,1,0,0.266240999947396,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",77,3,3,NA,FALSE,155,1,0,0.324387453179798,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",78,3,2,NA,FALSE,155,1,-1150,0.349705548057071,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",79,3,3,NA,FALSE,155,1,-25,0.339562815175117,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",80,3,2,NA,FALSE,155,0,0,0.137030713389541,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",81,4,2,NA,FALSE,155,0,0,0.639404907761044,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",82,4,2,NA,FALSE,155,0,0,0.682105336320692,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",83,4,2,NA,FALSE,155,1,100,0.156982555972189,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",84,4,1,NA,FALSE,155,0,0,0.98609898379846,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",85,4,4,NA,FALSE,155,1,50,1.05724958546238,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",86,4,3,NA,FALSE,155,0,0,0.510848661081078,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",87,4,2,NA,FALSE,155,0,0,0.192200382591911,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",88,4,1,NA,FALSE,155,0,0,0.299135859936639,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",89,4,1,NA,FALSE,155,0,0,0.195676341811747,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",90,4,1,NA,FALSE,155,0,0,0.285978635086249,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",91,4,1,NA,FALSE,155,0,0,0.390474370540341,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",92,4,2,NA,FALSE,155,1,100,0.415025093418769,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",93,4,2,NA,FALSE,155,1,100,0.553361229494999,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",94,4,2,NA,FALSE,155,1,-1150,0.258184802624677,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",95,4,1,NA,FALSE,155,0,0,0.154222660961224,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",96,4,1,NA,FALSE,155,1,-250,0.269116455637353,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",97,4,2,NA,FALSE,155,1,100,0.43197269504895,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",98,4,1,NA,FALSE,155,0,0,0.203528673586456,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",99,4,3,NA,FALSE,155,0,0,0.405197385748608,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
