"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","decay"
"200001",73,3,4,NA,FALSE,179,1,50,0.374122199832239,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",74,3,4,NA,FALSE,179,1,-200,0.828969945634932,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",75,3,2,NA,FALSE,179,1,100,0.20838160715226,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",76,3,1,NA,FALSE,179,1,-250,0.432242458476569,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",77,3,1,NA,FALSE,179,0,0,0.522619035180299,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",78,3,1,NA,FALSE,179,1,100,0.23609406942323,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",79,3,1,NA,FALSE,179,1,100,0.447619717880129,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",80,3,1,NA,FALSE,179,0,0,0.387646840402695,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",81,4,2,NA,FALSE,179,1,100,0.26538629996517,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",82,4,4,NA,FALSE,179,1,50,0.708768724530775,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",83,4,1,NA,FALSE,179,1,-250,0.615291765396958,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",84,4,4,NA,FALSE,179,1,50,0.365034997484484,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",85,4,3,NA,FALSE,179,1,0,0.220333602101586,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",86,4,4,NA,FALSE,179,1,50,0.190357802377752,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",87,4,3,NA,FALSE,179,1,-25,1.37658011071597,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",88,4,1,NA,FALSE,179,1,100,0.781160348876329,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",89,4,1,NA,FALSE,179,0,0,0.377304120471402,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",90,4,3,NA,FALSE,179,0,0,0.267199955467184,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",91,4,3,NA,FALSE,179,1,50,0.571438894211116,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",92,4,1,NA,FALSE,179,0,0,0.335823941117929,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",93,4,3,NA,FALSE,179,0,0,1.03628571659352,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",94,4,3,NA,FALSE,179,0,0,0.257771321659826,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",95,4,3,NA,FALSE,179,0,0,1.12618478954508,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",96,4,2,NA,FALSE,179,1,100,0.191877859123601,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",97,4,3,NA,FALSE,179,1,-25,0.205270278180115,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",98,4,4,NA,FALSE,179,1,50,0.302712376996474,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",99,4,1,NA,FALSE,179,1,-250,0.447973322047953,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",100,4,4,NA,FALSE,179,1,50,0.387969620771571,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",101,5,2,NA,FALSE,179,0,0,0.80970936662627,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",102,5,3,NA,FALSE,179,0,0,0.479444640140953,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",103,5,2,NA,FALSE,179,1,100,0.985859803244378,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",104,5,3,NA,FALSE,179,0,0,0.272064447882774,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",105,5,4,NA,FALSE,179,1,50,0.313238886323226,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",106,5,2,NA,FALSE,179,0,0,0.913282629160161,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",107,5,3,NA,FALSE,179,0,0,0.264921498129507,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",108,5,4,NA,FALSE,179,1,50,0.240594892188771,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",109,5,3,NA,FALSE,179,1,50,0.224505534393516,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",110,5,4,NA,FALSE,179,1,50,0.254805257694771,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",111,5,3,NA,FALSE,179,1,50,0.476700297318555,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",112,5,1,NA,FALSE,179,0,0,0.297336184478434,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",113,5,1,NA,FALSE,179,1,100,1.05377134880043,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",114,5,2,NA,FALSE,179,0,0,0.749345772838667,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",115,5,4,NA,FALSE,179,0,0,0.484766603656836,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",116,5,2,NA,FALSE,179,1,100,0.874756590043818,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",117,5,2,NA,FALSE,179,0,0,1.02349100682988,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",118,5,1,NA,FALSE,179,1,100,0.317298129050367,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",119,5,2,NA,FALSE,179,1,100,0.311040231829642,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",120,5,1,NA,FALSE,179,0,0,0.290262233264404,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200002",1,0,4,1,TRUE,158,1,50,0.221365236000228,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",2,0,3,0,TRUE,158,0,0,0.584458461009642,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",3,0,2,1,TRUE,158,1,100,0.244798280451877,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",4,0,3,1,TRUE,158,1,50,0.212301223297917,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",5,0,3,0,TRUE,158,0,0,0.199673522770564,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",6,0,2,1,TRUE,158,1,100,0.484686225250484,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",7,0,2,0,TRUE,158,0,0,0.248903669500161,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",8,0,4,1,TRUE,158,1,50,0.204231826897767,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",9,0,2,0,TRUE,158,0,0,0.568404487786617,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",10,0,1,1,TRUE,158,1,-250,2.27505885997254,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",11,0,4,1,TRUE,158,1,50,0.161190830618216,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",12,0,1,0,TRUE,158,0,0,0.606108283423397,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",13,0,4,1,TRUE,158,1,50,0.462450381354627,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",14,0,3,1,TRUE,158,1,50,0.175640866575349,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",15,0,2,0,TRUE,158,0,0,0.603784326249163,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
"200002",16,0,4,1,TRUE,158,1,50,0.582863555064119,1.403585,0.05733565,0.5557095,-0.3585,1.321415,0.6242565,0.24051
