"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","retend"
"200002",41,2,4,NA,FALSE,12,0,0,0.213465582056687,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",42,2,2,NA,FALSE,12,1,100,0.300834220658763,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",43,2,3,NA,FALSE,12,1,50,0.16847649996029,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",44,2,1,NA,FALSE,12,1,100,0.772435933891166,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",45,2,3,NA,FALSE,12,1,-25,0.12779555667163,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",46,2,4,NA,FALSE,12,1,50,0.602314688630342,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",47,2,1,NA,FALSE,12,0,0,0.34189953900293,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",48,2,4,NA,FALSE,12,0,0,1.30443281699139,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",49,2,4,NA,FALSE,12,1,50,0.171187253852016,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",50,2,3,NA,FALSE,12,0,0,0.330860023797154,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",51,2,2,NA,FALSE,12,1,100,0.267096859268166,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",52,2,1,NA,FALSE,12,0,0,1.16036625825075,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",53,2,4,NA,FALSE,12,0,0,1.0282245396631,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",54,2,3,NA,FALSE,12,0,0,0.302525441296831,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",55,2,4,NA,FALSE,12,1,-200,0.489100066375825,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",56,2,2,NA,FALSE,12,1,-1150,0.466327434215529,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",57,2,2,NA,FALSE,12,0,0,0.29733854572258,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",58,2,1,NA,FALSE,12,0,0,0.451069059725696,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",59,2,3,NA,FALSE,12,1,50,1.04777573742821,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",60,2,1,NA,FALSE,12,1,-250,0.760785864688947,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",61,3,2,NA,FALSE,12,1,100,0.241951690647711,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",62,3,2,NA,FALSE,12,1,100,0.261693511077972,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",63,3,4,NA,FALSE,12,1,-200,0.172722175734301,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",64,3,3,NA,FALSE,12,0,0,0.4705882037561,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",65,3,1,NA,FALSE,12,0,0,0.813710550091271,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",66,3,4,NA,FALSE,12,0,0,1.64394444758473,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",67,3,2,NA,FALSE,12,1,100,0.223675725456357,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",68,3,1,NA,FALSE,12,0,0,0.674374978864438,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",69,3,1,NA,FALSE,12,0,0,0.262084747545377,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",70,3,1,NA,FALSE,12,1,-250,0.445105033351817,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",71,3,3,NA,FALSE,12,1,50,0.249190065682519,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",72,3,2,NA,FALSE,12,0,0,0.563261097462466,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",73,3,2,NA,FALSE,12,0,0,0.174597166688734,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",74,3,4,NA,FALSE,12,0,0,0.947542405313635,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",75,3,4,NA,FALSE,12,1,50,0.370962401419769,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",76,3,2,NA,FALSE,12,1,100,1.27590299219523,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",77,3,1,NA,FALSE,12,1,100,1.31936946213345,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",78,3,4,NA,FALSE,12,1,50,0.209423546191365,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",79,3,3,NA,FALSE,12,0,0,0.648643735663645,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",80,3,3,NA,FALSE,12,1,50,0.557112465958115,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",81,4,4,NA,FALSE,12,0,0,0.190840303164036,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",82,4,2,NA,FALSE,12,1,100,0.147704194171938,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",83,4,1,NA,FALSE,12,0,0,0.358312510675062,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",84,4,3,NA,FALSE,12,1,50,0.339229552760792,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",85,4,1,NA,FALSE,12,1,-250,0.161168207457029,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",86,4,2,NA,FALSE,12,1,100,0.350533801488392,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",87,4,2,NA,FALSE,12,0,0,0.216922688185432,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",88,4,2,NA,FALSE,12,0,0,0.185390025035442,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",89,4,2,NA,FALSE,12,1,100,0.159353133958088,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",90,4,2,NA,FALSE,12,1,100,0.264854339147408,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",91,4,4,NA,FALSE,12,1,-200,0.163511312752895,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",92,4,4,NA,FALSE,12,0,0,0.50997945460803,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",93,4,4,NA,FALSE,12,0,0,0.140458108667041,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",94,4,3,NA,FALSE,12,1,0,0.376463614337583,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",95,4,1,NA,FALSE,12,1,100,0.714485175141754,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",96,4,2,NA,FALSE,12,0,0,0.533177686497849,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",97,4,1,NA,FALSE,12,1,100,1.00933525708347,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",98,4,3,NA,FALSE,12,0,0,0.227624217946713,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",99,4,4,NA,FALSE,12,1,50,0.496086596993334,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",100,4,1,NA,FALSE,12,1,100,0.204958888453115,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",101,5,4,NA,FALSE,12,1,50,0.399690531557041,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",102,5,3,NA,FALSE,12,1,0,0.443071234957726,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
