"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","consistency","update_rate_mf","decay_factor","pos_val","neg_val","var_pe_update"
"202074",10,0,1,1,TRUE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",11,0,4,1,TRUE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",12,0,1,0,TRUE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",13,0,4,1,TRUE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",14,0,3,1,TRUE,14,1,-25,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",15,0,2,0,TRUE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",16,0,4,1,TRUE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",17,0,3,1,TRUE,14,1,-25,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",18,0,1,1,TRUE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",19,0,1,1,TRUE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",20,0,1,0,TRUE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",21,1,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",22,1,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",23,1,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",24,1,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",25,1,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",26,1,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",27,1,1,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",28,1,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",29,1,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",30,1,3,NA,FALSE,14,1,-25,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",31,1,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",32,1,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
