"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","retend"
"200002",70,3,3,NA,FALSE,110,1,50,1.19346680251808,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",71,3,1,NA,FALSE,110,0,0,0.338822541462476,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",72,3,2,NA,FALSE,110,0,0,0.632712571782829,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",73,3,4,NA,FALSE,110,0,0,0.695219323276351,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",74,3,2,NA,FALSE,110,1,100,0.395630283587948,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",75,3,3,NA,FALSE,110,1,0,2.08350140484446,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",76,3,4,NA,FALSE,110,1,50,0.283750842339129,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",77,3,2,NA,FALSE,110,1,100,0.106265115577596,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",78,3,3,NA,FALSE,110,1,0,0.178300862296568,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",79,3,1,NA,FALSE,110,1,100,0.41699749869888,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",80,3,4,NA,FALSE,110,0,0,0.401248942635122,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",81,4,4,NA,FALSE,110,1,50,0.330866386137181,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",82,4,2,NA,FALSE,110,1,-1150,0.107226878344466,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",83,4,3,NA,FALSE,110,0,0,0.336583081205449,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",84,4,3,NA,FALSE,110,0,0,0.229361016837439,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",85,4,4,NA,FALSE,110,0,0,0.171701282390326,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",86,4,4,NA,FALSE,110,1,50,0.979635139625917,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",87,4,1,NA,FALSE,110,1,100,0.911519900133611,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",88,4,1,NA,FALSE,110,1,100,0.773651148181826,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",89,4,3,NA,FALSE,110,1,0,0.994673258932588,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",90,4,4,NA,FALSE,110,0,0,0.236146152805372,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",91,4,2,NA,FALSE,110,1,100,0.863125472281283,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",92,4,4,NA,FALSE,110,1,50,0.613585162405332,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",93,4,4,NA,FALSE,110,1,50,1.94139653772459,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
