"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","decay","epP","epN","K","w"
"1",83,5,NA,FALSE,10,1,0.25,0.473517708119471,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",84,5,NA,FALSE,10,4,0.126839418767486,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",85,5,NA,FALSE,10,4,0.101052444986999,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",86,5,NA,FALSE,10,4,0.140672408859245,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",87,5,NA,FALSE,10,4,0.104666321503464,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",88,5,NA,FALSE,10,4,0.108198206115048,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",89,5,NA,FALSE,10,4,0.123917371162679,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",90,5,NA,FALSE,10,4,0.146029817615636,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",91,5,NA,FALSE,10,4,0.119670332421083,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",92,5,NA,FALSE,10,4,0.113364636828192,0.62122160004219,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",93,5,NA,FALSE,10,4,0.130097751342691,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",94,5,NA,FALSE,10,4,0.133396290941164,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",95,5,NA,FALSE,10,4,0.109382194560021,0.604429098055698,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",96,5,NA,FALSE,10,4,0.125651890027802,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",97,5,NA,FALSE,10,4,0.111892175476532,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",98,5,NA,FALSE,10,4,0.106068729597609,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",99,5,NA,FALSE,10,4,0.109327666414902,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",100,5,NA,FALSE,10,4,0.145296514511574,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"10",1,1,NA,FALSE,83,3,0.147442585951649,0.0837041134946048,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",2,1,NA,FALSE,83,1,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",3,1,NA,FALSE,83,4,0.117476032359991,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",4,1,NA,FALSE,83,3,0.118762936675921,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",5,1,NA,FALSE,83,3,0.108449691033456,0.151633106765803,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",6,1,NA,FALSE,83,3,0.132081124733668,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",7,1,NA,FALSE,83,4,0.14663894289406,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",8,1,NA,FALSE,83,4,0.14290740879951,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",9,1,NA,FALSE,83,4,0.125655550428201,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",10,1,NA,FALSE,83,1,0.25,0.637532689957879,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",11,1,NA,FALSE,83,2,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",12,1,NA,FALSE,83,2,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",13,1,NA,FALSE,83,3,0.113518554763868,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",14,1,NA,FALSE,83,4,0.108825711230747,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",15,1,NA,FALSE,83,3,0.149153856898192,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",16,1,NA,FALSE,83,2,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",17,1,NA,FALSE,83,2,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",18,1,NA,FALSE,83,3,0.132273012795486,0.107522247068118,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",19,1,NA,FALSE,83,2,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",20,1,NA,FALSE,83,2,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",21,2,NA,FALSE,83,4,0.120056578004733,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",22,2,NA,FALSE,83,4,0.146150094945915,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",23,2,NA,FALSE,83,1,0.25,0.864638309262227,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",24,2,NA,FALSE,83,1,0.25,0.476657979376614,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",25,2,NA,FALSE,83,1,0.25,0.7231153655448,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",26,2,NA,FALSE,83,1,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",27,2,NA,FALSE,83,1,0.25,0.516706257720944,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",28,2,NA,FALSE,83,1,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",29,2,NA,FALSE,83,1,0.25,0.671588727482595,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",30,2,NA,FALSE,83,1,0.25,0.669954680791125,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",31,2,NA,FALSE,83,1,0.25,0.399913314555306,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",32,2,NA,FALSE,83,1,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",33,2,NA,FALSE,83,1,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",34,2,NA,FALSE,83,4,0.122795187856536,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",35,2,NA,FALSE,83,1,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",36,2,NA,FALSE,83,1,0.25,0.768846526497509,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",37,2,NA,FALSE,83,1,0.25,0.567042852041777,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",38,2,NA,FALSE,83,1,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",39,2,NA,FALSE,83,1,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",40,2,NA,FALSE,83,4,0.130873886763584,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",41,3,NA,FALSE,83,2,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",42,3,NA,FALSE,83,4,0.107403305103071,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",43,3,NA,FALSE,83,4,0.146635833045002,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",44,3,NA,FALSE,83,1,0.25,0,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",45,3,NA,FALSE,83,2,0.25,3.11303665320156,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",46,3,NA,FALSE,83,3,0.137615922873374,0.157460859569255,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
"10",47,3,NA,FALSE,83,1,0.25,0.849735659710132,0.6294535,0.174068,0.3534065,0.203527,-0.00277321,1.49128,0.274682,0.4933845
