"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","wgt_rew","wgt_pun","update"
"10",5,1,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",6,1,NA,FALSE,89,3,0.127725626959,0,1.66033,0.7798745,0.00723021,0.004425435
"10",7,1,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",8,1,NA,FALSE,89,4,0.130771745892707,0,1.66033,0.7798745,0.00723021,0.004425435
"10",9,1,NA,FALSE,89,4,0.126716804259922,0,1.66033,0.7798745,0.00723021,0.004425435
"10",10,1,NA,FALSE,89,3,0.134361158020329,0,1.66033,0.7798745,0.00723021,0.004425435
"10",11,1,NA,FALSE,89,1,0.25,0.542647503619082,1.66033,0.7798745,0.00723021,0.004425435
"10",12,1,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",13,1,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",14,1,NA,FALSE,89,4,0.125767123326659,0,1.66033,0.7798745,0.00723021,0.004425435
"10",15,1,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",16,1,NA,FALSE,89,4,0.122619041474536,0,1.66033,0.7798745,0.00723021,0.004425435
"10",17,1,NA,FALSE,89,4,0.130714757449459,0,1.66033,0.7798745,0.00723021,0.004425435
"10",18,1,NA,FALSE,89,3,0.141824632580392,0,1.66033,0.7798745,0.00723021,0.004425435
"10",19,1,NA,FALSE,89,4,0.119350661442149,0,1.66033,0.7798745,0.00723021,0.004425435
"10",20,1,NA,FALSE,89,3,0.141887185815722,0.091735835315194,1.66033,0.7798745,0.00723021,0.004425435
"10",21,2,NA,FALSE,89,4,0.1077020531171,0,1.66033,0.7798745,0.00723021,0.004425435
"10",22,2,NA,FALSE,89,4,0.102143922727555,0,1.66033,0.7798745,0.00723021,0.004425435
"10",23,2,NA,FALSE,89,4,0.115674796991516,0,1.66033,0.7798745,0.00723021,0.004425435
"10",24,2,NA,FALSE,89,3,0.121984740556218,0.161233284848277,1.66033,0.7798745,0.00723021,0.004425435
"10",25,2,NA,FALSE,89,3,0.106974000739865,0,1.66033,0.7798745,0.00723021,0.004425435
"10",26,2,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",27,2,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",28,2,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",29,2,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",30,2,NA,FALSE,89,3,0.108935094194021,0,1.66033,0.7798745,0.00723021,0.004425435
"10",31,2,NA,FALSE,89,4,0.120467316440772,0,1.66033,0.7798745,0.00723021,0.004425435
"10",32,2,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",33,2,NA,FALSE,89,1,0.25,0.50677943843184,1.66033,0.7798745,0.00723021,0.004425435
"10",34,2,NA,FALSE,89,3,0.137232126062736,0,1.66033,0.7798745,0.00723021,0.004425435
"10",35,2,NA,FALSE,89,4,0.108315164444502,0,1.66033,0.7798745,0.00723021,0.004425435
"10",36,2,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",37,2,NA,FALSE,89,3,0.141517831431702,0,1.66033,0.7798745,0.00723021,0.004425435
"10",38,2,NA,FALSE,89,3,0.116974813956767,0.176634261000436,1.66033,0.7798745,0.00723021,0.004425435
"10",39,2,NA,FALSE,89,3,0.106142301810905,0.128941009449773,1.66033,0.7798745,0.00723021,0.004425435
"10",40,2,NA,FALSE,89,3,0.117169605370145,0.106775922863744,1.66033,0.7798745,0.00723021,0.004425435
"10",41,3,NA,FALSE,89,4,0.116809432173613,0,1.66033,0.7798745,0.00723021,0.004425435
"10",42,3,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",43,3,NA,FALSE,89,1,0.25,0.777111243759282,1.66033,0.7798745,0.00723021,0.004425435
"10",44,3,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",45,3,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",46,3,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",47,3,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",48,3,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",49,3,NA,FALSE,89,3,0.106080717453733,0,1.66033,0.7798745,0.00723021,0.004425435
"10",50,3,NA,FALSE,89,4,0.131647623016033,0,1.66033,0.7798745,0.00723021,0.004425435
"10",51,3,NA,FALSE,89,3,0.121802723256405,0,1.66033,0.7798745,0.00723021,0.004425435
"10",52,3,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",53,3,NA,FALSE,89,3,0.128222669195384,0,1.66033,0.7798745,0.00723021,0.004425435
"10",54,3,NA,FALSE,89,4,0.105303107120562,0,1.66033,0.7798745,0.00723021,0.004425435
"10",55,3,NA,FALSE,89,4,0.139277799380943,0,1.66033,0.7798745,0.00723021,0.004425435
"10",56,3,NA,FALSE,89,4,0.101159685791936,0,1.66033,0.7798745,0.00723021,0.004425435
"10",57,3,NA,FALSE,89,3,0.133367739093956,0,1.66033,0.7798745,0.00723021,0.004425435
"10",58,3,NA,FALSE,89,3,0.125590148172341,0.0587733552674763,1.66033,0.7798745,0.00723021,0.004425435
"10",59,3,NA,FALSE,89,4,0.130183172330726,0,1.66033,0.7798745,0.00723021,0.004425435
"10",60,3,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",61,4,NA,FALSE,89,3,0.120528401632328,0,1.66033,0.7798745,0.00723021,0.004425435
"10",62,4,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",63,4,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",64,4,NA,FALSE,89,4,0.134998100437224,0,1.66033,0.7798745,0.00723021,0.004425435
"10",65,4,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",66,4,NA,FALSE,89,3,0.106820601585787,0,1.66033,0.7798745,0.00723021,0.004425435
"10",67,4,NA,FALSE,89,2,0.25,3.19043005513959,1.66033,0.7798745,0.00723021,0.004425435
"10",68,4,NA,FALSE,89,3,0.10949325527763,0.173428477870766,1.66033,0.7798745,0.00723021,0.004425435
"10",69,4,NA,FALSE,89,4,0.122160035185516,0,1.66033,0.7798745,0.00723021,0.004425435
"10",70,4,NA,FALSE,89,3,0.101017529692035,0,1.66033,0.7798745,0.00723021,0.004425435
"10",71,4,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",72,4,NA,FALSE,89,3,0.119966956833377,0,1.66033,0.7798745,0.00723021,0.004425435
"10",73,4,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",74,4,NA,FALSE,89,4,0.149030553770717,0,1.66033,0.7798745,0.00723021,0.004425435
"10",75,4,NA,FALSE,89,4,0.10824897934217,0,1.66033,0.7798745,0.00723021,0.004425435
"10",76,4,NA,FALSE,89,4,0.147230485151522,0,1.66033,0.7798745,0.00723021,0.004425435
"10",77,4,NA,FALSE,89,3,0.132091820961796,0.10027985238703,1.66033,0.7798745,0.00723021,0.004425435
"10",78,4,NA,FALSE,89,4,0.133341428823769,0.608251222467516,1.66033,0.7798745,0.00723021,0.004425435
"10",79,4,NA,FALSE,89,3,0.125917545240372,0.0829177533392794,1.66033,0.7798745,0.00723021,0.004425435
"10",80,4,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",81,5,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",82,5,NA,FALSE,89,3,0.139071617973968,0,1.66033,0.7798745,0.00723021,0.004425435
"10",83,5,NA,FALSE,89,3,0.101194970018696,0.130058057408314,1.66033,0.7798745,0.00723021,0.004425435
"10",84,5,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",85,5,NA,FALSE,89,4,0.132673560385592,0,1.66033,0.7798745,0.00723021,0.004425435
"10",86,5,NA,FALSE,89,3,0.109997493214905,0,1.66033,0.7798745,0.00723021,0.004425435
"10",87,5,NA,FALSE,89,4,0.103050191444345,0,1.66033,0.7798745,0.00723021,0.004425435
"10",88,5,NA,FALSE,89,4,0.133055614866316,0,1.66033,0.7798745,0.00723021,0.004425435
"10",89,5,NA,FALSE,89,4,0.11917890101904,0,1.66033,0.7798745,0.00723021,0.004425435
"10",90,5,NA,FALSE,89,1,0.25,0.369348220841493,1.66033,0.7798745,0.00723021,0.004425435
"10",91,5,NA,FALSE,89,3,0.132448751514312,0,1.66033,0.7798745,0.00723021,0.004425435
"10",92,5,NA,FALSE,89,3,0.141251742898021,0.192221681762021,1.66033,0.7798745,0.00723021,0.004425435
"10",93,5,NA,FALSE,89,3,0.144298496004194,0,1.66033,0.7798745,0.00723021,0.004425435
"10",94,5,NA,FALSE,89,3,0.120482256473042,0.196556996926665,1.66033,0.7798745,0.00723021,0.004425435
"10",95,5,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",96,5,NA,FALSE,89,1,0.25,0.692181159858592,1.66033,0.7798745,0.00723021,0.004425435
"10",97,5,NA,FALSE,89,4,0.12692403877154,0.610531406325754,1.66033,0.7798745,0.00723021,0.004425435
"10",98,5,NA,FALSE,89,3,0.106014719221275,0,1.66033,0.7798745,0.00723021,0.004425435
"10",99,5,NA,FALSE,89,3,0.139171369618271,0,1.66033,0.7798745,0.00723021,0.004425435
"10",100,5,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"100",1,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
"100",2,1,NA,FALSE,2,1,0.25,0,4.488445,0.8702955,0.00722698,0.20608
