"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w","decay"
"0001",67,4,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",68,4,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",69,4,NA,FALSE,33,2,0.25,3.01260648219613,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",70,4,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",71,4,NA,FALSE,33,2,0.25,3.22056981135393,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",72,4,NA,FALSE,33,1,0.25,0.670571417966858,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",73,4,NA,FALSE,33,3,0.106469779298641,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",74,4,NA,FALSE,33,3,0.118333481717855,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",75,4,NA,FALSE,33,3,0.10244584569009,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",76,4,NA,FALSE,33,3,0.133870248030871,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",77,4,NA,FALSE,33,3,0.104010269022547,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",78,4,NA,FALSE,33,3,0.114690597122535,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",79,4,NA,FALSE,33,3,0.112474895711057,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",80,4,NA,FALSE,33,3,0.110437955555972,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",81,5,NA,FALSE,33,3,0.143131115427241,0.092212320107501,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",82,5,NA,FALSE,33,3,0.101585309603252,0.0942880048649385,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",83,5,NA,FALSE,33,3,0.115519292873796,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",84,5,NA,FALSE,33,3,0.143309706554282,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",85,5,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",86,5,NA,FALSE,33,2,0.25,3.18007291253889,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",87,5,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",88,5,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",89,5,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",90,5,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",91,5,NA,FALSE,33,2,0.25,3.05322534759762,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",92,5,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",93,5,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",94,5,NA,FALSE,33,3,0.121086178591941,0.0906211744179018,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
