"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","wgt_rew","wgt_pun","update"
"0001",16,1,NA,FALSE,58,2,0.25,0,1.0527590910899,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",17,1,NA,FALSE,58,1,0.25,0,0.742885981154219,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",18,1,NA,FALSE,58,1,0.25,0,0.709950414810131,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",19,1,NA,FALSE,58,1,0.25,0,0.604528930586377,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",20,1,NA,FALSE,58,2,0.25,0,1.82704125044939,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",21,2,NA,FALSE,58,1,0.25,0,0.717531300743559,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",22,2,NA,FALSE,58,2,0.25,0,1.47587267194367,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",23,2,NA,FALSE,58,1,0.25,0.673779691383243,0.82627164953894,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",24,2,NA,FALSE,58,1,0.25,0.643595528393053,0.510029072568643,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",25,2,NA,FALSE,58,1,0.25,0.875870812369976,0.845633201392859,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",26,2,NA,FALSE,58,1,0.25,0.442119339748751,1.0513860984931,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",27,2,NA,FALSE,58,1,0.25,0.511843853944447,0.59379306204474,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",28,2,NA,FALSE,58,2,0.25,0,1.1900149086298,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",29,2,NA,FALSE,58,3,0.13035170090152,0,0.798958470519496,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",30,2,NA,FALSE,58,2,0.25,3.24821657710709,0.499918954005634,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",31,2,NA,FALSE,58,3,0.116649129637517,0.103140787011944,3.57259864482922,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",32,2,NA,FALSE,58,1,0.25,0,0.552917419388595,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",33,2,NA,FALSE,58,1,0.25,0.531885573721956,1.52569093800639,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",34,2,NA,FALSE,58,3,0.101073332002852,0,0.640787876032372,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",35,2,NA,FALSE,58,4,0.124082231579814,0,0.981512110008616,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",36,2,NA,FALSE,58,1,0.25,0,1.84262540936242,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",37,2,NA,FALSE,58,3,0.147473519318737,0,0.453199011705417,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",38,2,NA,FALSE,58,3,0.138345636427402,0.0701489161001518,0.380469017635749,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",39,2,NA,FALSE,58,1,0.25,0.523309810459614,0.941881081970481,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",40,2,NA,FALSE,58,2,0.25,0,1.52255055540714,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",41,3,NA,FALSE,58,1,0.25,0.585917532339226,0.658890548297298,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",42,3,NA,FALSE,58,1,0.25,0.563688840193208,1.465022796835,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",43,3,NA,FALSE,58,2,0.25,0,0.727447025381418,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",44,3,NA,FALSE,58,2,0.25,0,1.49008942896429,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",45,3,NA,FALSE,58,1,0.25,0.385865030752029,2.16829739059887,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",46,3,NA,FALSE,58,2,0.25,0,0.499766186318022,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",47,3,NA,FALSE,58,1,0.25,0.494435045705177,1.70427097049078,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",48,3,NA,FALSE,58,2,0.25,0,1.07208993115821,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",49,3,NA,FALSE,58,1,0.25,0.675790177076124,1.6017468891182,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",50,3,NA,FALSE,58,2,0.25,3.17638083815109,1.51966662390095,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",51,3,NA,FALSE,58,1,0.25,0.351873132423498,0.673218651196344,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",52,3,NA,FALSE,58,1,0.25,0,1.33733274450396,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",53,3,NA,FALSE,58,1,0.25,0.642176447797101,2.23456688197259,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",54,3,NA,FALSE,58,2,0.25,0,0.759221483724823,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",55,3,NA,FALSE,58,2,0.25,0,1.95544653574258,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",56,3,NA,FALSE,58,1,0.25,0.368092188506853,0.713548017442889,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",57,3,NA,FALSE,58,2,0.25,0,0.865163206706438,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",58,3,NA,FALSE,58,2,0.25,0,0.489408695543994,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",59,3,NA,FALSE,58,4,0.127151940588374,0,0.885566848047642,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",60,3,NA,FALSE,58,1,0.25,0,1.57566814535035,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",61,4,NA,FALSE,58,1,0.25,0.678917525219731,0.953039753102109,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",62,4,NA,FALSE,58,1,0.25,0,0.674515881786931,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",63,4,NA,FALSE,58,1,0.25,0,3.27283805358359,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",64,4,NA,FALSE,58,2,0.25,0,1.32112124957264,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",65,4,NA,FALSE,58,1,0.25,0,1.23396842473476,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",66,4,NA,FALSE,58,2,0.25,0,1.22083632856178,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",67,4,NA,FALSE,58,2,0.25,0,1.52250775908441,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",68,4,NA,FALSE,58,1,0.25,0,1.11877820319804,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
