"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w","decay"
"1",63,4,NA,FALSE,36,3,0.118596214987338,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",64,4,NA,FALSE,36,3,0.140976348053664,0.173537495243363,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",65,4,NA,FALSE,36,3,0.120938438200392,0.0999819772900082,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",66,4,NA,FALSE,36,3,0.133971214736812,0.113794186536688,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",67,4,NA,FALSE,36,3,0.132104127458297,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",68,4,NA,FALSE,36,3,0.147554263612255,0.050332366314251,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",69,4,NA,FALSE,36,3,0.115180418302771,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",70,4,NA,FALSE,36,3,0.139953560207505,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",71,4,NA,FALSE,36,3,0.121080094994977,0.0982959867687896,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",72,4,NA,FALSE,36,3,0.148225168394856,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",73,4,NA,FALSE,36,3,0.126494083274156,0.0832743254024535,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",74,4,NA,FALSE,36,3,0.128298368456308,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",75,4,NA,FALSE,36,3,0.101225345849525,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",76,4,NA,FALSE,36,3,0.115593223355245,0.12740311891539,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",77,4,NA,FALSE,36,3,0.104095059155952,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
