"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","drift_A","drift_B","drift_C","drift_D"
"0001",57,3,NA,FALSE,19,2,0.25,0,0.486448669600408,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",58,3,NA,FALSE,19,3,0.116657810949255,0.126227898139041,0.791641840334304,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",59,3,NA,FALSE,19,3,0.107313342124689,0,0.596856727787309,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",60,3,NA,FALSE,19,2,0.25,0,1.81517041940986,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",61,4,NA,FALSE,19,1,0.25,0,1.69809377553632,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",62,4,NA,FALSE,19,4,0.135756548133213,0,1.37048541556958,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",63,4,NA,FALSE,19,2,0.25,0,0.472353097591671,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",64,4,NA,FALSE,19,1,0.25,0,1.24224310897967,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",65,4,NA,FALSE,19,3,0.13782511621248,0,0.77620537989936,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",66,4,NA,FALSE,19,4,0.124946051079314,0,0.626133370995431,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",67,4,NA,FALSE,19,4,0.138094371219631,0,1.37645394549572,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",68,4,NA,FALSE,19,4,0.147031459596474,0,0.895828056098713,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",69,4,NA,FALSE,19,3,0.11910651557846,0.19400951921707,3.53824235927109,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",70,4,NA,FALSE,19,1,0.25,0.770402376551647,0.904811174531499,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",71,4,NA,FALSE,19,2,0.25,0,0.765997199449367,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",72,4,NA,FALSE,19,2,0.25,0,1.0763089692491,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",73,4,NA,FALSE,19,1,0.25,0.383156220300589,1.24017735198958,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
