"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","update","epP","epN","K","w"
"0001",22,2,NA,FALSE,48,2,0.25,3.16270754969446,1.82085019315354,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",23,2,NA,FALSE,48,1,0.25,0.627417611982673,1.48529061778798,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",24,2,NA,FALSE,48,2,0.25,0,0.454770651735381,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",25,2,NA,FALSE,48,1,0.25,0,0.745523492893879,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",26,2,NA,FALSE,48,4,0.115748195606284,0,0.666644183732108,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",27,2,NA,FALSE,48,1,0.25,0,0.526889569748511,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",28,2,NA,FALSE,48,3,0.118844861874823,0.0968058592523448,0.79958185983962,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",29,2,NA,FALSE,48,4,0.100777962082066,0,0.744821290031441,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",30,2,NA,FALSE,48,1,0.25,0,0.918947498608912,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",31,2,NA,FALSE,48,2,0.25,0,0.998229633561923,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",32,2,NA,FALSE,48,2,0.25,0,0.811897824408394,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",33,2,NA,FALSE,48,1,0.25,0,0.936290455914248,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",34,2,NA,FALSE,48,1,0.25,0,1.02272451728577,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",35,2,NA,FALSE,48,3,0.122592994058505,0.0777655033161864,1.04556530938885,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",36,2,NA,FALSE,48,1,0.25,0.504131199512631,1.25408774014349,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",37,2,NA,FALSE,48,2,0.25,0,1.01953736299738,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",38,2,NA,FALSE,48,2,0.25,0,1.40473130421875,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",39,2,NA,FALSE,48,1,0.25,0,0.89867697978051,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",40,2,NA,FALSE,48,1,0.25,0,1.03881575916133,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",41,3,NA,FALSE,48,1,0.25,0,0.867540994059209,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",42,3,NA,FALSE,48,3,0.10224703294225,0,0.516699185930162,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",43,3,NA,FALSE,48,1,0.25,0,1.3184443712744,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",44,3,NA,FALSE,48,1,0.25,0.391267016937491,0.63446808655192,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",45,3,NA,FALSE,48,1,0.25,0,0.842558851330761,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",46,3,NA,FALSE,48,1,0.25,0.398125106107909,0.638475376290091,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",47,3,NA,FALSE,48,1,0.25,0,1.01291557798278,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",48,3,NA,FALSE,48,1,0.25,0.714966705697589,0.768234767846205,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",49,3,NA,FALSE,48,1,0.25,0.58210560096195,0.573816886353577,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",50,3,NA,FALSE,48,1,0.25,0.623487162450328,0.905431456195926,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",51,3,NA,FALSE,48,1,0.25,0,0.932197617433894,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",52,3,NA,FALSE,48,1,0.25,0,0.778352442365992,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",53,3,NA,FALSE,48,2,0.25,0,0.931827775019447,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",54,3,NA,FALSE,48,1,0.25,0,2.01353956210364,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",55,3,NA,FALSE,48,1,0.25,0,0.752968198190032,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",56,3,NA,FALSE,48,1,0.25,0.774736081855372,0.443722646542743,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",57,3,NA,FALSE,48,1,0.25,0,0.649851024854746,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",58,3,NA,FALSE,48,2,0.25,0,0.580581676461582,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",59,3,NA,FALSE,48,3,0.136468557303306,0.144569520500954,1.93596827039259,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",60,3,NA,FALSE,48,1,0.25,0.683118991332594,0.413343644110892,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",61,4,NA,FALSE,48,1,0.25,0,1.7873253773456,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",62,4,NA,FALSE,48,1,0.25,0,0.407009381557554,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",63,4,NA,FALSE,48,1,0.25,0.893846036819741,1.88637581190502,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",64,4,NA,FALSE,48,2,0.25,0,0.861194945121984,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",65,4,NA,FALSE,48,1,0.25,0.428615053882822,0.62077510097449,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",66,4,NA,FALSE,48,1,0.25,0.466573695361149,0.795003304790315,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",67,4,NA,FALSE,48,1,0.25,0,1.83016559706367,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",68,4,NA,FALSE,48,3,0.130959844472818,0.197658125939779,0.529669800599695,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",69,4,NA,FALSE,48,1,0.25,0,1.3180982888346,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",70,4,NA,FALSE,48,3,0.140335148037411,0.130938120186329,0.758116008259825,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",71,4,NA,FALSE,48,1,0.25,0,1.52207158288747,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",72,4,NA,FALSE,48,1,0.25,0,0.840092028623451,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",73,4,NA,FALSE,48,4,0.149893048149534,0,2.09610943832715,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",74,4,NA,FALSE,48,2,0.25,0,0.914810897187057,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",75,4,NA,FALSE,48,1,0.25,0.653451378829777,0.625736069907275,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",76,4,NA,FALSE,48,1,0.25,0,0.590761780170296,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",77,4,NA,FALSE,48,1,0.25,0.518141813343391,0.653463472862721,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",78,4,NA,FALSE,48,1,0.25,0,1.05147389988189,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",79,4,NA,FALSE,48,2,0.25,0,0.497265642641329,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",80,4,NA,FALSE,48,3,0.141342933382839,0.185032282152679,1.09271814316923,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",81,5,NA,FALSE,48,2,0.25,0,1.20534950071972,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
