"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","Arew","Apun","K","betaF","betaP"
"1",33,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",34,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",35,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",36,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",37,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",38,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",39,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",40,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",41,3,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",42,3,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",43,3,NA,FALSE,83,2,0.25,3.04302195890341,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",44,3,NA,FALSE,83,3,0.136402678140439,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",45,3,NA,FALSE,83,4,0.121340695000254,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",46,3,NA,FALSE,83,4,0.121348720614333,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",47,3,NA,FALSE,83,4,0.111263462656643,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",48,3,NA,FALSE,83,4,0.118133279657923,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",49,3,NA,FALSE,83,4,0.115833507233765,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",50,3,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",51,3,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",52,3,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",53,3,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",54,3,NA,FALSE,83,2,0.25,3.18184480641503,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",55,3,NA,FALSE,83,4,0.110085349541623,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",56,3,NA,FALSE,83,4,0.11743890659418,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",57,3,NA,FALSE,83,4,0.129516317043453,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",58,3,NA,FALSE,83,4,0.10607649886515,0,0.33208,0.3006665,0.626276,3.908735,4.264195
