"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","wgt_rew","wgt_pun","update","cohort"
"0004",80,4,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",81,5,NA,FALSE,15,4,0.147492394375149,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",82,5,NA,FALSE,15,1,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",83,5,NA,FALSE,15,3,0.11377179666888,0.101961439091247,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",84,5,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",85,5,NA,FALSE,15,3,0.127180727792438,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",86,5,NA,FALSE,15,3,0.145554640563205,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",87,5,NA,FALSE,15,3,0.149138442554977,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",88,5,NA,FALSE,15,3,0.11694018264534,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",89,5,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",90,5,NA,FALSE,15,4,0.117082566651516,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",91,5,NA,FALSE,15,1,0.25,0.381277646741364,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",92,5,NA,FALSE,15,4,0.133358322328422,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",93,5,NA,FALSE,15,4,0.145825880020857,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",94,5,NA,FALSE,15,1,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",95,5,NA,FALSE,15,1,0.25,0.814211116381921,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",96,5,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",97,5,NA,FALSE,15,4,0.12605536893243,0.620321291440632,0.6695995,0.4868715,0.290261,0.3953345,"luc"
