"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update"
"1",29,2,NA,FALSE,20,3,0.135896226332989,0.0642187566263601,1.39693,0.103154,0.7660765,0.967506
"1",30,2,NA,FALSE,20,2,0.25,3.21928587224102,1.39693,0.103154,0.7660765,0.967506
"1",31,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",32,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",33,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",34,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",35,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",36,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",37,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",38,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",39,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",40,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",41,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",42,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",43,3,NA,FALSE,20,1,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",44,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",45,3,NA,FALSE,20,1,0.25,0.455678356986027,1.39693,0.103154,0.7660765,0.967506
"1",46,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",47,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",48,3,NA,FALSE,20,1,0.25,0.577736139751505,1.39693,0.103154,0.7660765,0.967506
"1",49,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",50,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",51,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",52,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",53,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",54,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",55,3,NA,FALSE,20,3,0.108348164218478,0.114661419868935,1.39693,0.103154,0.7660765,0.967506
"1",56,3,NA,FALSE,20,4,0.124111012148205,0,1.39693,0.103154,0.7660765,0.967506
"1",57,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",58,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",59,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",60,3,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",61,4,NA,FALSE,20,4,0.127693110064138,0,1.39693,0.103154,0.7660765,0.967506
"1",62,4,NA,FALSE,20,4,0.147602335049305,0,1.39693,0.103154,0.7660765,0.967506
"1",63,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",64,4,NA,FALSE,20,4,0.118119898240548,0,1.39693,0.103154,0.7660765,0.967506
"1",65,4,NA,FALSE,20,4,0.102545097447,0,1.39693,0.103154,0.7660765,0.967506
"1",66,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",67,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",68,4,NA,FALSE,20,4,0.10098968395032,0,1.39693,0.103154,0.7660765,0.967506
"1",69,4,NA,FALSE,20,4,0.138657303911168,0,1.39693,0.103154,0.7660765,0.967506
"1",70,4,NA,FALSE,20,4,0.132102825096808,0.632095606392249,1.39693,0.103154,0.7660765,0.967506
"1",71,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",72,4,NA,FALSE,20,1,0.25,0.516936963540502,1.39693,0.103154,0.7660765,0.967506
"1",73,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",74,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",75,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",76,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",77,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",78,4,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",79,4,NA,FALSE,20,1,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",80,4,NA,FALSE,20,1,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",81,5,NA,FALSE,20,1,0.25,0.405449357186444,1.39693,0.103154,0.7660765,0.967506
"1",82,5,NA,FALSE,20,3,0.123102882516105,0.170625659485813,1.39693,0.103154,0.7660765,0.967506
"1",83,5,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",84,5,NA,FALSE,20,2,0.25,3.12353050406091,1.39693,0.103154,0.7660765,0.967506
"1",85,5,NA,FALSE,20,1,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",86,5,NA,FALSE,20,1,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",87,5,NA,FALSE,20,1,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",88,5,NA,FALSE,20,4,0.116218909039162,0,1.39693,0.103154,0.7660765,0.967506
"1",89,5,NA,FALSE,20,3,0.142950569360983,0.1257305412204,1.39693,0.103154,0.7660765,0.967506
"1",90,5,NA,FALSE,20,4,0.113963927549776,0,1.39693,0.103154,0.7660765,0.967506
"1",91,5,NA,FALSE,20,4,0.123578702367377,0,1.39693,0.103154,0.7660765,0.967506
"1",92,5,NA,FALSE,20,4,0.146084610850085,0,1.39693,0.103154,0.7660765,0.967506
