"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","update"
"200001",95,4,2,NA,FALSE,134,0,0,0.229605175582854,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",96,4,2,NA,FALSE,134,1,-1150,0.364785248817462,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",97,4,1,NA,FALSE,134,1,100,0.383535923972994,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",98,4,1,NA,FALSE,134,0,0,0.903815436831373,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",99,4,4,NA,FALSE,134,1,-200,0.54532639311346,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",100,4,1,NA,FALSE,134,0,0,0.830096940020247,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",101,5,4,NA,FALSE,134,0,0,0.407520869343815,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",102,5,3,NA,FALSE,134,0,0,0.736946464437504,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",103,5,4,NA,FALSE,134,1,-200,0.945548169614007,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",104,5,2,NA,FALSE,134,1,100,0.540848496811842,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",105,5,1,NA,FALSE,134,1,-250,0.573865600164967,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",106,5,3,NA,FALSE,134,1,0,1.06469193894394,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",107,5,3,NA,FALSE,134,1,-25,0.433457346287189,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",108,5,4,NA,FALSE,134,0,0,0.812370162821742,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",109,5,4,NA,FALSE,134,1,50,0.244612227032098,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",110,5,2,NA,FALSE,134,1,100,0.466066629897138,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",111,5,3,NA,FALSE,134,0,0,0.45699930682829,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",112,5,4,NA,FALSE,134,1,-200,0.279440192278622,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",113,5,3,NA,FALSE,134,1,0,0.290758984133332,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",114,5,1,NA,FALSE,134,0,0,0.484233395450889,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",115,5,1,NA,FALSE,134,0,0,0.984157025256346,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",116,5,4,NA,FALSE,134,0,0,0.89956272347761,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",117,5,2,NA,FALSE,134,1,100,0.243242108857191,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",118,5,1,NA,FALSE,134,0,0,0.356872254746564,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
