"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","update","decay"
"200952",58,2,1,NA,FALSE,176,0,0,0.866130087295823,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",59,2,3,NA,FALSE,176,1,50,0.636783863041714,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",60,2,3,NA,FALSE,176,0,0,0.410528295916678,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",61,3,3,NA,FALSE,176,0,0,0.607622059102372,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",62,3,2,NA,FALSE,176,0,0,0.795604659352044,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",63,3,4,NA,FALSE,176,1,-200,0.400368737114795,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",64,3,1,NA,FALSE,176,1,100,0.736360166313092,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",65,3,2,NA,FALSE,176,0,0,1.17120353314293,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",66,3,2,NA,FALSE,176,0,0,0.697403301955316,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",67,3,3,NA,FALSE,176,1,50,0.376419877419858,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",68,3,4,NA,FALSE,176,1,50,0.333156323066855,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",69,3,1,NA,FALSE,176,0,0,1.17442325133965,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",70,3,4,NA,FALSE,176,1,50,0.56484922339667,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",71,3,1,NA,FALSE,176,0,0,0.886557399447289,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",72,3,3,NA,FALSE,176,1,-25,0.605285962408624,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",73,3,3,NA,FALSE,176,0,0,1.75650768460792,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",74,3,4,NA,FALSE,176,0,0,3.261553509877,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",75,3,1,NA,FALSE,176,1,100,0.574383732521664,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",76,3,4,NA,FALSE,176,1,50,0.529434250822146,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",77,3,3,NA,FALSE,176,1,-25,0.959403006579527,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",78,3,4,NA,FALSE,176,1,50,1.89206188681197,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",79,3,1,NA,FALSE,176,1,100,1.01682236100668,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
