"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","con","retend"
"200438",64,3,1,NA,FALSE,4,1,-250,0.205683,0.5607385,0.3816185,0.294227
"200438",65,3,4,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",66,3,2,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",67,3,1,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",68,3,3,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",69,3,1,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",70,3,2,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",71,3,3,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",72,3,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",73,3,3,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",74,3,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",75,3,2,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",76,3,3,NA,FALSE,4,1,-25,0.205683,0.5607385,0.3816185,0.294227
"200438",77,3,3,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",78,3,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",79,3,1,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",80,3,3,NA,FALSE,4,1,-25,0.205683,0.5607385,0.3816185,0.294227
"200438",81,4,2,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",82,4,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",83,4,2,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",84,4,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",85,4,3,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",86,4,3,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",87,4,4,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",88,4,2,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",89,4,1,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",90,4,4,NA,FALSE,4,1,-200,0.205683,0.5607385,0.3816185,0.294227
"200438",91,4,3,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",92,4,1,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",93,4,3,NA,FALSE,4,1,0,0.205683,0.5607385,0.3816185,0.294227
"200438",94,4,2,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",95,4,2,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",96,4,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",97,4,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",98,4,1,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",99,4,2,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",100,4,1,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",101,5,2,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
"200438",102,5,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",103,5,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",104,5,1,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",105,5,3,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",106,5,1,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",107,5,1,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",108,5,3,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",109,5,3,NA,FALSE,4,1,0,0.205683,0.5607385,0.3816185,0.294227
"200438",110,5,2,NA,FALSE,4,1,-1150,0.205683,0.5607385,0.3816185,0.294227
"200438",111,5,3,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",112,5,2,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",113,5,4,NA,FALSE,4,1,50,0.205683,0.5607385,0.3816185,0.294227
"200438",114,5,3,NA,FALSE,4,1,0,0.205683,0.5607385,0.3816185,0.294227
"200438",115,5,1,NA,FALSE,4,0,0,0.205683,0.5607385,0.3816185,0.294227
"200438",116,5,2,NA,FALSE,4,1,100,0.205683,0.5607385,0.3816185,0.294227
