"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","update"
"200001",52,2,2,NA,FALSE,90,1,100,0.363148592534884,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",53,2,4,NA,FALSE,90,0,0,0.280388545076088,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",54,2,3,NA,FALSE,90,1,-25,0.222317508120533,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",55,2,1,NA,FALSE,90,0,0,0.221546193191445,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",56,2,3,NA,FALSE,90,0,0,0.751104598345521,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",57,2,4,NA,FALSE,90,1,50,0.409077589761472,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",58,2,2,NA,FALSE,90,1,100,0.350118917495862,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",59,2,1,NA,FALSE,90,0,0,0.37172395038359,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",60,2,2,NA,FALSE,90,0,0,0.469074966443022,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",61,3,2,NA,FALSE,90,1,-1150,0.336588825388288,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",62,3,3,NA,FALSE,90,1,50,0.690018135031251,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",63,3,1,NA,FALSE,90,0,0,1.17690767265818,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",64,3,4,NA,FALSE,90,1,50,0.694413331624475,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",65,3,4,NA,FALSE,90,1,50,1.15887712968562,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",66,3,2,NA,FALSE,90,1,100,0.501847810770687,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",67,3,2,NA,FALSE,90,0,0,0.520701681336046,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",68,3,4,NA,FALSE,90,1,50,0.265031483383065,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",69,3,4,NA,FALSE,90,1,50,0.250160433878741,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",70,3,4,NA,FALSE,90,1,50,0.582127074563313,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",71,3,4,NA,FALSE,90,1,50,0.34409642851495,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",72,3,3,NA,FALSE,90,0,0,0.677962689744241,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",73,3,1,NA,FALSE,90,0,0,0.900962279230832,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",74,3,1,NA,FALSE,90,0,0,0.325770813107316,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",75,3,2,NA,FALSE,90,0,0,0.600913491997468,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",76,3,1,NA,FALSE,90,1,100,1.20751665136273,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",77,3,1,NA,FALSE,90,1,-250,0.567580560360524,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",78,3,2,NA,FALSE,90,1,100,0.158137185220165,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",79,3,1,NA,FALSE,90,1,-250,0.862038450860952,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",80,3,2,NA,FALSE,90,0,0,0.382714065783132,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",81,4,4,NA,FALSE,90,0,0,0.240720596818848,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",82,4,2,NA,FALSE,90,1,100,0.297624288858802,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
