"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","con","update","decay"
"200923",54,2,1,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",55,2,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",56,2,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",57,2,3,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",58,2,1,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",59,2,3,NA,FALSE,40,1,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",60,2,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",61,3,3,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",62,3,3,NA,FALSE,40,1,-25,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",63,3,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",64,3,1,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",65,3,4,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",66,3,3,NA,FALSE,40,1,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",67,3,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",68,3,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",69,3,3,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",70,3,1,NA,FALSE,40,1,-250,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",71,3,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",72,3,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",73,3,1,NA,FALSE,40,1,-250,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",74,3,4,NA,FALSE,40,1,-200,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",75,3,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",76,3,3,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",77,3,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",78,3,1,NA,FALSE,40,1,-250,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",79,3,1,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",80,3,4,NA,FALSE,40,1,-200,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",81,4,1,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",82,4,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",83,4,4,NA,FALSE,40,1,-200,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",84,4,3,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",85,4,2,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",86,4,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",87,4,4,NA,FALSE,40,1,50,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",88,4,2,NA,FALSE,40,0,0,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",89,4,3,NA,FALSE,40,1,-25,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",90,4,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
"200923",91,4,2,NA,FALSE,40,1,100,1.543665,0.7352175,0.01746495,0.737373,0.07243195
