"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","update","decay"
"200004",101,5,3,NA,FALSE,109,1,50,0.329217633298132,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",102,5,3,NA,FALSE,109,1,0,0.60093543522963,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",103,5,1,NA,FALSE,109,1,100,0.368892387772477,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",104,5,3,NA,FALSE,109,1,0,0.903961528018137,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",105,5,1,NA,FALSE,109,1,100,0.355787534334132,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",106,5,3,NA,FALSE,109,1,-25,0.186162865315435,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",107,5,3,NA,FALSE,109,0,0,0.528023209329857,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",108,5,2,NA,FALSE,109,1,100,0.221837185072867,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",109,5,2,NA,FALSE,109,1,-1150,0.35795722137259,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",110,5,3,NA,FALSE,109,0,0,0.378689085505107,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",111,5,3,NA,FALSE,109,1,0,1.19342837476075,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",112,5,3,NA,FALSE,109,0,0,0.282334702229669,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",113,5,3,NA,FALSE,109,1,-25,0.372833433429744,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",114,5,4,NA,FALSE,109,1,50,0.215639940732709,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",115,5,3,NA,FALSE,109,0,0,0.720320015258208,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",116,5,4,NA,FALSE,109,1,50,0.164549288546204,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",117,5,4,NA,FALSE,109,1,50,0.218238702563903,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",118,5,4,NA,FALSE,109,1,50,0.373451726727149,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",119,5,4,NA,FALSE,109,1,50,0.213825809525906,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",120,5,2,NA,FALSE,109,1,100,0.183032617288056,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200005",1,0,4,1,TRUE,54,1,50,0.530127037443026,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",2,0,3,0,TRUE,54,0,0,0.973961867820361,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",3,0,2,1,TRUE,54,1,100,0.524963420012494,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",4,0,3,1,TRUE,54,1,50,0.788659158446836,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",5,0,3,0,TRUE,54,0,0,0.28605392035321,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",6,0,2,1,TRUE,54,1,100,0.941965164813654,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",7,0,2,0,TRUE,54,0,0,0.684489615859809,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",8,0,4,1,TRUE,54,1,50,0.51536875279173,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",9,0,2,0,TRUE,54,0,0,0.773804370130786,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",10,0,1,1,TRUE,54,1,-250,0.799093943675219,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",11,0,4,1,TRUE,54,1,50,0.429145670774546,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",12,0,1,0,TRUE,54,0,0,0.567512112529993,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",13,0,4,1,TRUE,54,1,-200,0.407826177762625,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",14,0,3,1,TRUE,54,1,-25,0.558988415886015,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",15,0,2,0,TRUE,54,0,0,1.295293875513,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",16,0,4,1,TRUE,54,1,-200,0.416300628367378,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
"200005",17,0,3,1,TRUE,54,1,50,0.538843059541426,1.423435,0.1938845,0.412043,0.3296515,1.323505,0.3108425,0.4794985,0.08990635
