"subject_id","category","session","statistic","observed","simulated_mean","simulated_sd","ppp","p_2.5","p_50","p_97.5","extreme_ppp"
"201406","rt","session","rt_mean_pass",1.267375,0.756669803726645,0.0974687323300518,0,0.583815632730258,0.748308726989329,0.97491953877047,TRUE
"201406","rt","session","rt_sd_pass",1.16367864263865,0.40304710982853,0.107879006538006,0,0.233194765441963,0.388918011984552,0.661238101583195,TRUE
"201406","rt","session","rt_min_pass",0.384,0.319572023497148,0.0420030986286509,0.068,0.256210800607338,0.313261888615838,0.415783486592107,FALSE
"201406","rt","session","rt_q10_pass",0.441,0.392863797118383,0.0474594200243746,0.146,0.313780441252039,0.388317164432749,0.493181386818837,FALSE
"201406","rt","session","rt_q30_pass",0.637,0.508290278624178,0.0655187003820539,0.038,0.392253508389766,0.503082050579997,0.661752750652525,TRUE
"201406","rt","session","rt_q50_pass",0.784,0.642435825394367,0.0913638468856075,0.072,0.494366056434713,0.632155260083141,0.848377693791628,FALSE
"201406","rt","session","rt_q70_pass",1.2235,0.844886295001469,0.132437676387675,0.007,0.63207384827198,0.831615265409153,1.14697440468422,TRUE
"201406","rt","session","rt_q90_pass",3.1325,1.24499887667821,0.230136932593043,0,0.852972471522492,1.22240701928938,1.79305687803096,TRUE
"201406","rt","session","rt_skew_pass",1.53408897433452,1.34618596343425,0.622675918950652,0.345,0.36880106870199,1.26728359006633,2.8283075336199,FALSE
"201406","choice","block_1","play_ratio",0.8,0.66055,0.121823801198857,0.174,0.4,0.65,0.85,FALSE
"201406","choice","block_1","pass_ratio",0.2,0.33945,0.121823801198857,0.919,0.15,0.35,0.6,FALSE
"201406","choice","block_1","play_ratio_deck1",1,0.626166666666667,0.224336228483223,0.099,0.166666666666667,0.666666666666667,1,FALSE
"201406","choice","block_1","play_ratio_deck2",1,0.7364,0.247257307629474,0.313,0.2,0.8,1,FALSE
"201406","choice","block_1","play_ratio_deck3",0.4,0.6512,0.248999117589924,0.911,0.2,0.6,1,FALSE
"201406","choice","block_1","play_ratio_deck4",0.8,0.629,0.265385435601559,0.193,0,0.75,1,FALSE
"201406","choice","block_1","good_play_ratio",0.6,0.641333333333333,0.181239786487087,0.588,0.222222222222222,0.666666666666667,1,FALSE
"201406","choice","block_1","bad_play_ratio",1,0.676272727272727,0.170021310690937,0.037,0.272727272727273,0.727272727272727,1,TRUE
"201406","choice","block_1","net_score",-4,-1.667,2.52596347786176,0.857,-6.025,-2,3,FALSE
"201406","choice","block_1","total_earnings",750,373.65,326.547946037119,0.14,-275,375,1050,FALSE
"201406","choice","block_1","mean_earnings",37.5,18.6825,16.3273973018559,0.14,-13.75,18.75,52.5,FALSE
"201406","choice","block_1","total_plays",16,13.211,2.43647602397713,0.174,8,13,17,FALSE
"201406","choice","block_1","total_passes",4,6.789,2.43647602397713,0.919,3,7,12,FALSE
"201406","choice","block_1","win_stay_ratio",0.578947368421053,0.360097368421053,0.148723944094433,0.107,0.1,0.35,0.631578947368421,FALSE
"201406","choice","block_1","lose_shift_ratio",0,0.036358234295416,0.0366499474650817,1,0,0.05,0.105263157894737,TRUE
"201406","rt","block_1","rt_mean",1.07165,0.726239003751829,0.101302909194096,0,0.556038576648847,0.71735359062526,0.961429621754142,TRUE
"201406","rt","block_1","rt_sd",1.03566217185457,0.419501836125783,0.127965926287447,0,0.222592703994226,0.399969334060903,0.727675452905527,TRUE
"201406","rt","block_1","rt_min",0.328,0.298048572876271,0.033661904395929,0.175,0.24659483833103,0.292899057497535,0.377132570554562,FALSE
"201406","rt","block_1","rt_q10",0.4515,0.35657822616351,0.0428504648966943,0.032,0.287998730996442,0.351882280747719,0.458766772383031,TRUE
"201406","rt","block_1","rt_q30",0.618,0.465319487692942,0.0651490736637862,0.022,0.356937802972491,0.458131001610787,0.609821044616924,TRUE
"201406","rt","block_1","rt_q50",0.7575,0.606658486331456,0.0981067724949899,0.068,0.434886418148648,0.598164291423998,0.812227126748728,FALSE
"201406","rt","block_1","rt_q70",0.8986,0.809650983066297,0.147096137849832,0.251,0.563759909537334,0.793418960763847,1.13869172231055,FALSE
"201406","rt","block_1","rt_q90",1.5673,1.22012564576949,0.265112137331768,0.105,0.817427152029015,1.18184758865713,1.84204165877681,FALSE
"201406","rt","block_1","rt_mean_play",0.7086875,0.688913561856493,0.122851889407606,0.405,0.480514465394085,0.679050760224022,0.96339843697832,FALSE
"201406","rt","block_1","rt_sd_play",0.257523518343471,0.398589484899979,0.157430205452924,0.833,0.157354426787141,0.369351631955089,0.758153705044431,FALSE
"201406","rt","block_1","rt_min_play",0.328,0.304116045093879,0.0424426097825417,0.227,0.24659483833103,0.295809297566273,0.404616576399905,FALSE
"201406","rt","block_1","rt_q10_play",0.4095,0.350281680448187,0.0502552755202638,0.115,0.279383303655338,0.342257121199392,0.476821425157047,FALSE
"201406","rt","block_1","rt_q30_play",0.5295,0.444326770226584,0.0793175153425776,0.125,0.325413041309003,0.431894080070088,0.635524388205579,FALSE
"201406","rt","block_1","rt_q50_play",0.7145,0.572208908870776,0.119023907643323,0.112,0.388991579311764,0.557881263577074,0.836822402712697,FALSE
"201406","rt","block_1","rt_q70_play",0.791,0.762330529069514,0.173601335133523,0.382,0.474706840369441,0.742417091170623,1.14804589135075,FALSE
"201406","rt","block_1","rt_q90_play",1.0635,1.13705065011402,0.307740482965374,0.534,0.651534093001349,1.08534546153988,1.84240126510793,FALSE
"201406","rt","block_1","rt_mean_pass",2.5235,0.800142805111754,0.183072914658523,0,0.494144650852459,0.774305875650178,1.24502602134418,TRUE
"201406","rt","block_1","rt_sd_pass",1.71709143612098,0.403109690729906,0.204058277578725,0,0.103221468538549,0.369032187532947,0.878567026328805,TRUE
"201406","rt","block_1","rt_min_pass",0.797,0.41147639654407,0.111179747029811,0.017,0.279604431412208,0.387751495122112,0.687028798531861,TRUE
"201406","rt","block_1","rt_q10_pass",0.947,0.465380117225651,0.115219133470469,0.006,0.312865953182468,0.443714424870067,0.727038088302709,TRUE
"201406","rt","block_1","rt_q30_pass",1.247,0.573809614448072,0.143009661163689,0.001,0.37668010771376,0.55011504360079,0.927282281403456,TRUE
"201406","rt","block_1","rt_q50_pass",2.6485,0.705317459742967,0.187964360309398,0,0.43195821082205,0.675702605725264,1.1586896829334,TRUE
"201406","rt","block_1","rt_q70_pass",4,0.891773886563376,0.244807651405685,0,0.501581857361258,0.858402497856496,1.4911164361496,TRUE
"201406","rt","block_1","rt_q90_pass",4,1.21998453002516,0.377542548680627,0,0.639840379919972,1.17329030910511,2.1142427898274,TRUE
"201406","choice","block_2","play_ratio",0.85,0.7331,0.113764371981444,0.214,0.5,0.75,0.95,FALSE
"201406","choice","block_2","pass_ratio",0.15,0.2669,0.113764371981444,0.896,0.05,0.25,0.5,FALSE
"201406","choice","block_2","play_ratio_deck1",0.8,0.5562,0.291696154665513,0.358,0,0.6,1,FALSE
"201406","choice","block_2","play_ratio_deck2",1,0.8684,0.206310455391878,0.623,0.2,1,1,FALSE
"201406","choice","block_2","play_ratio_deck3",0.6,0.75325,0.229629412678705,0.732,0.25,0.75,1,FALSE
"201406","choice","block_2","play_ratio_deck4",1,0.754333333333333,0.211406200170097,0.25,0.333333333333333,0.833333333333333,1,FALSE
"201406","choice","block_2","good_play_ratio",0.8,0.7539,0.154105608394174,0.554,0.4,0.8,1,FALSE
"201406","choice","block_2","bad_play_ratio",0.9,0.7123,0.17506958433537,0.248,0.3975,0.7,1,FALSE
"201406","choice","block_2","net_score",-1,0.416,2.38802149208223,0.782,-4,0,5,FALSE
"201406","choice","block_2","total_earnings",850,-95.65,809.589564386031,0.078,-1950,175,1000.625,FALSE
"201406","choice","block_2","mean_earnings",42.5,-4.7825,40.4794782193015,0.078,-97.5,8.75,50.03125,FALSE
"201406","choice","block_2","total_plays",17,14.662,2.27528743962888,0.214,10,15,19,FALSE
"201406","choice","block_2","total_passes",3,5.338,2.27528743962888,0.896,1,5,10,FALSE
"201406","choice","block_2","win_stay_ratio",0.578947368421053,0.383547368421053,0.150976276454675,0.134,0.1,0.368421052631579,0.684210526315789,FALSE
"201406","choice","block_2","lose_shift_ratio",0,0.037646577583856,0.0421017499159463,1,0,0.05,0.15,TRUE
"201406","rt","block_2","rt_mean",0.5905,0.666340821062778,0.0988491832651029,0.768,0.501863582672601,0.661242898279047,0.8880030495355,FALSE
"201406","rt","block_2","rt_sd",0.226462614551439,0.381449080590065,0.130959644020376,0.912,0.190809337437413,0.360358673636516,0.676645397789469,FALSE
"201406","rt","block_2","rt_min",0.376,0.287738548100036,0.0290477811009388,0.009,0.242360714883393,0.282837968842018,0.356234130399385,TRUE
"201406","rt","block_2","rt_q10",0.4104,0.339152662055946,0.0375713659929792,0.048,0.280969180757214,0.335014830476089,0.42349012033102,TRUE
"201406","rt","block_2","rt_q30",0.4611,0.432402215421498,0.0591257223682175,0.284,0.339493798660054,0.42426319801632,0.567827861621548,FALSE
"201406","rt","block_2","rt_q50",0.503,0.549614504855581,0.0879410702680949,0.674,0.414891604633681,0.538757355704558,0.742672516204598,FALSE
"201406","rt","block_2","rt_q70",0.6208,0.73539705012351,0.135222556908523,0.791,0.510766221498734,0.719733711561793,1.05440111851457,FALSE
