"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w","decay"
"1",13,1,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",14,1,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",15,1,NA,FALSE,25,2,0.25,3.10508202074561,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",16,1,NA,FALSE,25,3,0.111951201874763,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",17,1,NA,FALSE,25,3,0.129685337387491,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",18,1,NA,FALSE,25,3,0.12312104171142,0.139182010083459,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",19,1,NA,FALSE,25,3,0.122429624095093,0.130531686136965,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",20,1,NA,FALSE,25,1,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",21,2,NA,FALSE,25,1,0.25,0.403991662967019,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",22,2,NA,FALSE,25,1,0.25,0.765530044015031,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",23,2,NA,FALSE,25,1,0.25,0.678050990484189,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",24,2,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",25,2,NA,FALSE,25,3,0.125470862281509,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",26,2,NA,FALSE,25,3,0.115548206749372,0.168629634031095,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",27,2,NA,FALSE,25,1,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",28,2,NA,FALSE,25,1,0.25,0.753872782213148,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",29,2,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",30,2,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",31,2,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",32,2,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",33,2,NA,FALSE,25,4,0.147205604286864,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
