"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","Arew","Apun","K","betaF","betaP"
"0001",57,3,NA,FALSE,60,1,0.25,0.416909047751687,1.07588781891906,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",58,3,NA,FALSE,60,1,0.25,0.632835018006153,0.729512137960211,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",59,3,NA,FALSE,60,2,0.25,0,1.0485194714087,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",60,3,NA,FALSE,60,4,0.100752322888002,0,1.45471385729396,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",61,4,NA,FALSE,60,1,0.25,0,1.25166605600415,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",62,4,NA,FALSE,60,1,0.25,0.685462573263794,0.570868871098734,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",63,4,NA,FALSE,60,1,0.25,0,0.502900589356383,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",64,4,NA,FALSE,60,2,0.25,0,0.846417650525178,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",65,4,NA,FALSE,60,1,0.25,0.622666905156802,1.18360562065228,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",66,4,NA,FALSE,60,3,0.130275408958551,0.0509612444089725,0.564189975527624,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",67,4,NA,FALSE,60,1,0.25,0,0.408681057977372,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",68,4,NA,FALSE,60,1,0.25,0.573315864300821,0.486815346258384,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",69,4,NA,FALSE,60,1,0.25,0,0.425914512409794,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",70,4,NA,FALSE,60,1,0.25,0.871479364437982,0.987883590844866,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",71,4,NA,FALSE,60,3,0.123238557274453,0,0.489615530366432,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",72,4,NA,FALSE,60,1,0.25,0,1.14107765094644,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",73,4,NA,FALSE,60,1,0.25,0,0.637720973034956,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",74,4,NA,FALSE,60,1,0.25,0,1.1047070247705,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",75,4,NA,FALSE,60,2,0.25,3.10505116684362,0.951545900357887,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",76,4,NA,FALSE,60,4,0.100393813534174,0,0.950584648403339,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",77,4,NA,FALSE,60,1,0.25,0,1.22990059557206,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",78,4,NA,FALSE,60,3,0.110604783624876,0,0.733467920973305,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",79,4,NA,FALSE,60,4,0.100563196674921,0,1.06685342389263,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",80,4,NA,FALSE,60,2,0.25,0,1.53112938257377,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",81,5,NA,FALSE,60,3,0.131735852768179,0,0.921829077311176,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",82,5,NA,FALSE,60,1,0.25,0.71720602796413,0.828673483634815,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",83,5,NA,FALSE,60,1,0.25,0,1.39363950572867,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",84,5,NA,FALSE,60,3,0.105322973267175,0.0882980630733073,0.664612006384774,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",85,5,NA,FALSE,60,1,0.25,0.640712662809528,1.33381654916819,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",86,5,NA,FALSE,60,4,0.146771444159094,0,0.558604662115159,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",87,5,NA,FALSE,60,1,0.25,0,0.846619775324494,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",88,5,NA,FALSE,60,3,0.130681907234248,0.120111599576194,0.508253716856011,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
