"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w"
"1",16,1,NA,FALSE,3,4,0.138923189789057,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",17,1,NA,FALSE,3,4,0.121225204446819,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",18,1,NA,FALSE,3,4,0.136101079627406,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",19,1,NA,FALSE,3,4,0.128644503664691,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",20,1,NA,FALSE,3,4,0.138862242561299,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",21,2,NA,FALSE,3,4,0.11110024942318,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",22,2,NA,FALSE,3,4,0.139081419329159,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",23,2,NA,FALSE,3,4,0.125195354036987,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",24,2,NA,FALSE,3,4,0.141024957259651,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",25,2,NA,FALSE,3,4,0.122662220487837,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",26,2,NA,FALSE,3,4,0.108192128769588,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",27,2,NA,FALSE,3,4,0.13172806003131,0.63144748667255,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",28,2,NA,FALSE,3,4,0.147631256561726,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",29,2,NA,FALSE,3,4,0.143348563590553,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",30,2,NA,FALSE,3,4,0.145331575570162,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",31,2,NA,FALSE,3,4,0.127384665980935,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",32,2,NA,FALSE,3,4,0.118805139476899,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",33,2,NA,FALSE,3,4,0.103325999306981,0.628360305796377,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",34,2,NA,FALSE,3,1,0.25,0.778781781403813,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",35,2,NA,FALSE,3,4,0.132407222990878,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",36,2,NA,FALSE,3,4,0.115797348017804,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",37,2,NA,FALSE,3,4,0.134129310562275,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",38,2,NA,FALSE,3,4,0.126054149959236,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",39,2,NA,FALSE,3,4,0.134138083504513,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",40,2,NA,FALSE,3,4,0.1478112739278,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",41,3,NA,FALSE,3,4,0.141903490677942,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",42,3,NA,FALSE,3,4,0.104344733210746,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",43,3,NA,FALSE,3,4,0.131827205012087,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",44,3,NA,FALSE,3,4,0.113019375270233,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",45,3,NA,FALSE,3,4,0.132160362543073,0.646782190247905,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",46,3,NA,FALSE,3,1,0.25,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",47,3,NA,FALSE,3,1,0.25,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",48,3,NA,FALSE,3,1,0.25,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",49,3,NA,FALSE,3,1,0.25,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",50,3,NA,FALSE,3,1,0.25,0.430688113661017,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",51,3,NA,FALSE,3,3,0.133543591795024,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",52,3,NA,FALSE,3,1,0.25,0.514839085959829,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",53,3,NA,FALSE,3,1,0.25,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",54,3,NA,FALSE,3,1,0.25,0.511022000678349,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",55,3,NA,FALSE,3,2,0.25,3.06044721935177,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
