"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","decay","explore_alpha","explore_bonus"
"0001",34,2,NA,FALSE,25,3,0.115947498753667,0.177284100314137,2.81801525542517,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",35,2,NA,FALSE,25,2,0.25,0,0.668706442555608,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",36,2,NA,FALSE,25,3,0.130321384686977,0.10224964779336,1.00771623394305,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",37,2,NA,FALSE,25,2,0.25,0,1.35795920538057,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",38,2,NA,FALSE,25,1,0.25,0.671588879998308,1.38736574554948,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",39,2,NA,FALSE,25,2,0.25,0,0.661831212851793,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",40,2,NA,FALSE,25,2,0.25,0,2.50207442192485,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",41,3,NA,FALSE,25,1,0.25,0,0.885512236774185,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",42,3,NA,FALSE,25,1,0.25,0,1.47614184894279,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",43,3,NA,FALSE,25,1,0.25,0,0.493884152199449,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",44,3,NA,FALSE,25,3,0.115169335342944,0.177464123652317,1.1433714262171,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
