"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","decay","explore_alpha","explore_bonus"
"0001",16,1,NA,FALSE,54,4,0.119799299328588,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",17,1,NA,FALSE,54,1,0.25,0.598464554804377,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",18,1,NA,FALSE,54,1,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",19,1,NA,FALSE,54,1,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",20,1,NA,FALSE,54,1,0.25,0.47623342134757,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",21,2,NA,FALSE,54,1,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",22,2,NA,FALSE,54,1,0.25,0.457058750838041,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",23,2,NA,FALSE,54,1,0.25,0.666126523073763,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",24,2,NA,FALSE,54,1,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",25,2,NA,FALSE,54,1,0.25,0.462729863356799,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",26,2,NA,FALSE,54,1,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",27,2,NA,FALSE,54,1,0.25,0.373814181087073,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",28,2,NA,FALSE,54,1,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",29,2,NA,FALSE,54,1,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",30,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",31,2,NA,FALSE,54,3,0.133856836264022,0.176633630786091,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",32,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",33,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",34,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",35,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",36,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",37,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",38,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",39,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",40,2,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",41,3,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",42,3,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",43,3,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",44,3,NA,FALSE,54,2,0.25,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",45,3,NA,FALSE,54,2,0.25,3.13648727268446,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",46,3,NA,FALSE,54,3,0.10857838424854,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",47,3,NA,FALSE,54,3,0.113789940311108,0.185743208043277,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",48,3,NA,FALSE,54,3,0.127435285539832,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",49,3,NA,FALSE,54,3,0.115773921029177,0.0757498662336729,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",50,3,NA,FALSE,54,3,0.112659027788322,0.0902695889933966,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",51,3,NA,FALSE,54,3,0.144483922387008,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",52,3,NA,FALSE,54,3,0.117605850216933,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",53,3,NA,FALSE,54,3,0.106140225217678,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",54,3,NA,FALSE,54,3,0.129200984258205,0.168081143696327,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",55,3,NA,FALSE,54,3,0.119804817391559,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",56,3,NA,FALSE,54,3,0.119261640019249,0.088006808492355,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",57,3,NA,FALSE,54,3,0.116540581220761,0.182784738624468,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",58,3,NA,FALSE,54,3,0.123976891639177,0.15817673766287,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",59,3,NA,FALSE,54,3,0.140144005056936,0.118612968339585,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",60,3,NA,FALSE,54,3,0.110955486667808,0.187829480436631,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",61,4,NA,FALSE,54,3,0.138375680265017,0.194029455084819,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",62,4,NA,FALSE,54,3,0.105518300994299,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",63,4,NA,FALSE,54,3,0.141678712551948,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",64,4,NA,FALSE,54,3,0.131405042042024,0.155198347428814,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",65,4,NA,FALSE,54,3,0.111518247961067,0.081474634364713,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",66,4,NA,FALSE,54,3,0.126766248547938,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",67,4,NA,FALSE,54,3,0.128744675673079,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",68,4,NA,FALSE,54,3,0.147146405500825,0.1966743429075,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",69,4,NA,FALSE,54,3,0.103864494664595,0.0944390518940054,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",70,4,NA,FALSE,54,3,0.142952444113325,0.102674753440078,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",71,4,NA,FALSE,54,3,0.140519446320832,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",72,4,NA,FALSE,54,3,0.129643539129756,0.0775729392189532,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",73,4,NA,FALSE,54,3,0.124000177555718,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",74,4,NA,FALSE,54,3,0.133710332738701,0.170490049128421,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",75,4,NA,FALSE,54,3,0.117197376512922,0.162969305552542,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",76,4,NA,FALSE,54,3,0.105528901645448,0.196721995878033,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",77,4,NA,FALSE,54,4,0.109778833342716,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",78,4,NA,FALSE,54,4,0.143017276783939,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",79,4,NA,FALSE,54,4,0.10132315477822,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",80,4,NA,FALSE,54,4,0.13290343551198,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",81,5,NA,FALSE,54,4,0.138389036234003,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",82,5,NA,FALSE,54,4,0.119378773355857,0.601093874918297,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",83,5,NA,FALSE,54,4,0.143791520863306,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",84,5,NA,FALSE,54,4,0.125425442575943,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",85,5,NA,FALSE,54,4,0.138560492231045,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",86,5,NA,FALSE,54,4,0.106514346506447,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",87,5,NA,FALSE,54,4,0.105126336810645,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",88,5,NA,FALSE,54,4,0.117199879535474,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",89,5,NA,FALSE,54,4,0.139116286556236,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",90,5,NA,FALSE,54,4,0.146420680230949,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",91,5,NA,FALSE,54,4,0.131870583980344,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",92,5,NA,FALSE,54,4,0.101997769426089,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",93,5,NA,FALSE,54,4,0.115635029599071,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",94,5,NA,FALSE,54,4,0.111727672093548,0.609511490294244,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",95,5,NA,FALSE,54,4,0.12716614138335,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",96,5,NA,FALSE,54,4,0.123224206792656,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",97,5,NA,FALSE,54,4,0.118542034726124,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",98,5,NA,FALSE,54,4,0.144205852423329,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",99,5,NA,FALSE,54,4,0.130553507001605,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",100,5,NA,FALSE,54,4,0.121743747161236,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0003",1,1,NA,FALSE,96,4,0.146618685731664,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",2,1,NA,FALSE,96,2,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",3,1,NA,FALSE,96,4,0.112645988992881,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",4,1,NA,FALSE,96,4,0.120115838560741,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",5,1,NA,FALSE,96,1,0.25,0.450885188300163,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",6,1,NA,FALSE,96,1,0.25,0.869710737292189,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",7,1,NA,FALSE,96,4,0.128178220160771,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",8,1,NA,FALSE,96,1,0.25,0.594861410267185,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",9,1,NA,FALSE,96,1,0.25,0.459985650947783,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",10,1,NA,FALSE,96,1,0.25,0.494496522599366,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",11,1,NA,FALSE,96,1,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",12,1,NA,FALSE,96,2,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",13,1,NA,FALSE,96,2,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",14,1,NA,FALSE,96,2,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",15,1,NA,FALSE,96,2,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",16,1,NA,FALSE,96,3,0.137084676674567,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",17,1,NA,FALSE,96,1,0.25,0.466677166835871,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",18,1,NA,FALSE,96,1,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",19,1,NA,FALSE,96,1,0.25,0.740589609043673,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",20,1,NA,FALSE,96,1,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",21,2,NA,FALSE,96,2,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",22,2,NA,FALSE,96,2,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",23,2,NA,FALSE,96,2,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
"0003",24,2,NA,FALSE,96,2,0.25,0,0.3995905,0.4936045,0.7991805,0.5588085,0.605432,-3.49067
