"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","decay"
"0002",83,5,NA,FALSE,20,1,0.25,0.828540802944917,0.360806710969592,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",84,5,NA,FALSE,20,2,0.25,0,0.543609181670371,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",85,5,NA,FALSE,20,4,0.148327033722308,0,2.13329810502573,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",86,5,NA,FALSE,20,2,0.25,0,0.174063768928193,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",87,5,NA,FALSE,20,2,0.25,3.03701317223022,0.299268397181337,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",88,5,NA,FALSE,20,3,0.114435691258404,0,1.17118051600454,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",89,5,NA,FALSE,20,4,0.113234224205371,0,1.17924931696835,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",90,5,NA,FALSE,20,1,0.25,0.629013519501314,0.580873936515357,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",91,5,NA,FALSE,20,1,0.25,0.668189836060628,1.27371789428067,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",92,5,NA,FALSE,20,2,0.25,3.19161373493262,0.425474878657382,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",93,5,NA,FALSE,20,2,0.25,0,0.438771284204325,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",94,5,NA,FALSE,20,4,0.147183404513635,0,0.691201579834533,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",95,5,NA,FALSE,20,4,0.118723187455907,0,0.190817099552338,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",96,5,NA,FALSE,20,1,0.25,0.710861160058994,0.340110937010839,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",97,5,NA,FALSE,20,4,0.147233061154839,0,0.417893308742408,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",98,5,NA,FALSE,20,1,0.25,0,0.291328114308297,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",99,5,NA,FALSE,20,1,0.25,0.708813483454287,0.725137374544548,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",100,5,NA,FALSE,20,1,0.25,0.780334226042032,0.524330710288039,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0004",1,1,NA,FALSE,27,3,0.10653837043792,0.0572264178306796,2.05814919724697,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",2,1,NA,FALSE,27,2,0.25,0,1.86279974938448,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",3,1,NA,FALSE,27,1,0.25,0.702885230595712,1.86098272187302,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",4,1,NA,FALSE,27,1,0.25,0.508467203180771,1.40332495647279,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",5,1,NA,FALSE,27,1,0.25,0.455020160379354,0.989658914522771,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",6,1,NA,FALSE,27,1,0.25,0,1.0753350438233,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",7,1,NA,FALSE,27,1,0.25,0.685708431026433,2.28603876946838,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",8,1,NA,FALSE,27,1,0.25,0,2.30585800261332,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",9,1,NA,FALSE,27,1,0.25,0.42795219370164,1.67234327288712,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",10,1,NA,FALSE,27,3,0.141967390396167,0,3.42279718396869,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",11,1,NA,FALSE,27,2,0.25,0,0.985775300067603,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
"0004",12,1,NA,FALSE,27,1,0.25,0,1.8287240988389,3.02639,2.324265,0.151583,0.1098135,0.461784,1.021165,0.194482,0.7296815,0.8387925
