"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error","model"
"wgt_rew",38,0.4223855,0.4452605,"group",0.022875,0.0541566886173887,"ev"
"update",38,0.480055,0.3645805,"group",-0.1154745,-0.240544312630844,"ev"
"con",39,1.73922,0.5793195,"group",-1.1599005,-0.666908441715252,"ev"
"wgt_pun",39,0.3338295,0.305769,"group",-0.0280605,-0.0840563820752809,"ev"
"wgt_rew",39,0.568864,0.4616115,"group",-0.1072525,-0.188538033695224,"ev"
"update",39,0.2039865,0.333721,"group",0.1297345,0.635995519311327,"ev"
"con",40,0.553003,0.640564,"group",0.0875609999999999,0.158337296542695,"ev"
"wgt_pun",40,0.303851,0.3064235,"group",0.00257250000000003,0.00846632066374648,"ev"
"wgt_rew",40,0.451304,0.4683545,"group",0.0170505,0.0377805204474145,"ev"
"update",40,0.3653745,0.4843915,"group",0.119017,0.325739754690051,"ev"
"con",41,0.6083535,0.7487635,"group",0.14041,0.230803307616378,"ev"
"wgt_pun",41,0.2226915,0.331104,"group",0.1084125,0.486828190568567,"ev"
"wgt_rew",41,0.5196525,0.4826765,"group",-0.036976,-0.0711552431673088,"ev"
"update",41,0.36526,0.354524,"group",-0.010736,-0.0293927613207031,"ev"
"con",42,1.227615,0.7109335,"group",-0.5166815,-0.420882361326637,"ev"
"wgt_pun",42,0.1107165,0.388626,"group",0.2779095,2.51010012057823,"ev"
"wgt_rew",42,0.6249205,0.42538,"group",-0.1995405,-0.319305415648871,"ev"
"update",42,0.0342586,0.4482705,"group",0.4140119,12.0849042284273,"ev"
"con",43,0.654975,0.7292335,"group",0.0742584999999999,0.113376083056605,"ev"
"wgt_pun",43,0.310815,0.3618705,"group",0.0510555,0.164263307755417,"ev"
"wgt_rew",43,0.472907,0.4557295,"group",-0.0171775,-0.0363232094259547,"ev"
"update",43,0.4653095,0.374119,"group",-0.0911905,-0.195978160772561,"ev"
"con",44,1.078345,0.756543,"group",-0.321802,-0.298422119080628,"ev"
"wgt_pun",44,0.187575,0.324655,"group",0.13708,0.730801012928162,"ev"
"wgt_rew",44,0.595428,0.489891,"group",-0.105537,-0.177245611560088,"ev"
"update",44,0.5513775,0.3179885,"group",-0.233389,-0.423283503588739,"ev"
"con",45,0.663026,0.6415455,"group",-0.0214805,-0.0323976736960542,"ev"
"wgt_pun",45,0.446307,0.3132635,"group",-0.1330435,-0.298098618215712,"ev"
"wgt_rew",45,0.3530315,0.471825,"group",0.1187935,0.336495468534678,"ev"
"update",45,0.4753565,0.499971,"group",0.0246145,0.0517811368940994,"ev"
"con",46,0.395908,0.7899325,"group",0.3940245,0.995242581609869,"ev"
"wgt_pun",46,0.288714,0.319905,"group",0.031191,0.108034248425778,"ev"
"wgt_rew",46,0.4049955,0.492209,"group",0.0872135,0.215344368023842,"ev"
"update",46,0.4669845,0.408396,"group",-0.0585885,-0.125461337581868,"ev"
"con",47,0.340561,0.8134355,"group",0.4728745,1.38851630104445,"ev"
"wgt_pun",47,0.235368,0.423267,"group",0.187899,0.798320077495666,"ev"
"wgt_rew",47,0.4241155,0.417437,"group",-0.00667849999999998,-0.0157468897033944,"ev"
"update",47,0.225193,0.535775,"group",0.310582,1.37918141327661,"ev"
"con",48,0.394722,0.679412,"group",0.28469,0.721241785357796,"ev"
"wgt_pun",48,0.274901,0.321301,"group",0.0464,0.168788036420384,"ev"
"wgt_rew",48,0.424166,0.4742125,"group",0.0500465,0.117988004696275,"ev"
"update",48,0.392328,0.395567,"group",0.00323899999999999,0.00825584714830446,"ev"
"con",49,4.21897,4.329245,"group",0.110275,0.026137896216375,"ev"
"wgt_pun",49,0.5064105,0.04568925,"group",-0.46072125,-0.90977823327123,"ev"
"wgt_rew",49,0.6697775,0.7902195,"group",0.120442,0.179823896741829,"ev"
"update",49,0.534262,0.0109405,"group",-0.5233215,-0.979522219435408,"ev"
"con",50,0.6133265,0.821014,"group",0.2076875,0.338624696633848,"ev"
